place_id,name,address,latitude,longitude,rating,review_count,primary_type,types,website,google_maps_url,search_query,price_numeric_imputed,price_tier_imputed,price_tier_numeric
ChIJq4kzLkVxhlQRMVpWDD4hG_I,Luca restaurant Aberdeen Centre,"4151 Hazelbridge Wy #3260, Richmond, BC V6A 4C4",49.1840605,-123.13391279999998,4.9,743.0,mediterranean_restaurant,"mediterranean_restaurant, restaurant, food, point_of_interest, establishment",https://lucarestaurant.ca/,https://maps.google.com/?cid=17445574131928422961&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Mediterranean restaurants in Richmond BC,2.0,$$,2
ChIJyycGtgBzhlQRe_ZYZvbIelU,Kagura Hand Roll Bar,"2036 W 4th Ave, Vancouver, BC V6J 1M9",49.2679018,-123.1513339,4.9,662.0,restaurant,"restaurant, food, point_of_interest, establishment",,https://maps.google.com/?cid=6159456400987190907&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Japanese restaurants in Kitsilano BC,2.0,$$,2
ChIJ_9x2ha93hlQR41kMPhSwXfQ,Mineiros Brazilian Bistro,"7542 Edmonds St, Burnaby, BC V3N 1B4",49.2223656,-122.9439139,4.9,661.0,restaurant,"restaurant, food, point_of_interest, establishment",https://mineiros.zomi.menu/,https://maps.google.com/?cid=17608423719075338723&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Brazilian restaurants in Yaletown BC,2.0,$$,2
ChIJlzPJIVjXhVQRr3FyhohJUI0,Back 2 Jamaica Eats,"1881 152 St, Surrey, BC V3S 5A5",49.0360299,-122.80156,4.9,628.0,restaurant,"restaurant, food, point_of_interest, establishment",https://www.back2jamaicaeats.com/,https://maps.google.com/?cid=10182719608204718511&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Caribbean restaurants in Richmond BC,2.0,$$,2
ChIJl12s1G9zhlQRaa3UINcuQX0,Miraas Restaurant & Bar (Vancouver Downtown),"961 Denman St, Vancouver, BC V6G 2M3",49.2899103,-123.1380862,4.9,587.0,restaurant,"restaurant, food, point_of_interest, establishment",https://www.miraasrestaurant.com/,https://maps.google.com/?cid=9025546629730839913&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Indian restaurants in West End BC,2.0,$$,2
ChIJH7Q7ewB3hlQR3qM4uJ-MzSM,Pho Anh Vu East Vancouver,"2155 Kingsway, Vancouver, BC V5N 2T4",49.2440943,-123.06248029999998,4.9,560.0,vietnamese_restaurant,"vietnamese_restaurant, meal_delivery, food_delivery, asian_restaurant, soup_restaurant, noodle_shop, meal_takeaway, restaurant, food, point_of_interest, establishment",https://phoanhvu.com/,https://maps.google.com/?cid=2579872779171570654&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Vietnamese restaurants in Commercial Drive BC,1.0,$,1
ChIJVaYbywNxhlQR__j3cj0a4xw,Eivan Restaurant and Bar,"1615 Lonsdale Ave, North Vancouver, BC V7M 2J5",49.323416,-123.0725585,4.9,554.0,restaurant,"restaurant, persian_restaurant, food, point_of_interest, establishment",https://eivanrestaurant.com/,https://maps.google.com/?cid=2081536303999482111&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Mediterranean restaurants in North Vancouver BC,2.0,$$,2
ChIJtcfn6Q3RhVQRIoR0h4SEbvQ,Tommie's Jerk,"5337 180 St, Surrey, BC V3S 4K5",49.1000146,-122.7244685,4.9,538.0,restaurant,"chicken_restaurant, caribbean_restaurant, mexican_restaurant, restaurant, food, point_of_interest, establishment",http://www.tommiesjerk.com/,https://maps.google.com/?cid=17613160897435698210&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Caribbean restaurants in Downtown Vancouver BC,1.0,$,1
ChIJl2VRJgALhlQRCEiof1bzsHs,Pho Capital,"5508 Hollybridge Way #130, Richmond, BC V7C 0E2",49.174309,-123.1480213,4.9,472.0,restaurant,"vietnamese_restaurant, asian_restaurant, restaurant, food, point_of_interest, establishment",http://pho-capital-richmond.com/,https://maps.google.com/?cid=8912891215400683528&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Vietnamese restaurants in Richmond BC,2.0,$$,2
ChIJU0FPvhVzhlQR7sHMW2R5vts,PHO IN LOVE AUTHENTIC VIETNAMESE RESTAURANT & BAR,"1725 Davie St, Vancouver, BC V6G 1W5",49.2866586,-123.1405444,4.9,465.0,restaurant,"restaurant, food, point_of_interest, establishment",http://phoinlove.ca/,https://maps.google.com/?cid=15834226811825078766&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Vietnamese restaurants in Downtown Vancouver BC,2.0,$$,2
