place_id,name,address,latitude,longitude,rating,review_count,price_level,primary_type,types,website,google_maps_url,search_query
ChIJhX-7iBYLhlQRxYkeXqG1onQ,Hello Nori - Richmond,"6551 Number 3 Rd #1450, Richmond, BC V6Y 2B6",49.1669172,-123.1393196,4.7,1061.0,,japanese_restaurant,"japanese_restaurant, sushi_restaurant, meal_takeaway, bar, restaurant, food, point_of_interest, establishment",https://www.hellonori.com/,https://maps.google.com/?cid=8404479559300188613&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Japanese restaurants in Richmond BC
ChIJL33DILZ3hlQRV7CT-OkNEyE,Nemo Sushi Bar,"5935 Hastings St, Burnaby, BC V5B 1R7",49.280468299999995,-122.97779369999999,4.7,1057.0,,sushi_restaurant,"sushi_restaurant, japanese_restaurant, restaurant, food, point_of_interest, establishment",https://nemosushibar.ca/,https://maps.google.com/?cid=2383263926358093911&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Japanese restaurants in Burnaby BC
ChIJL1eoqJxxhlQRuz_G4lhwfmA,Shazde House | رستوران شازده,"1509 Marine Dr, North Vancouver, BC V7P 1T7",49.323743199999996,-123.1150936,4.7,1046.0,,restaurant,"restaurant, food, point_of_interest, establishment",https://www.shazdehouse.ca/,https://maps.google.com/?cid=6953118401770700731&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Lebanese restaurants in North Vancouver BC
ChIJRcdM6unghVQRx6bWk2_jUrI,Il Posto,"4866 Delta St, Delta, BC V4K 2T8",49.0912909,-123.08593479999999,4.7,1024.0,PRICE_LEVEL_MODERATE,italian_restaurant,"italian_restaurant, restaurant, food, point_of_interest, establishment",https://www.ilpostoresto.com/,https://maps.google.com/?cid=12849582755202639559&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Italian restaurants in Richmond BC
ChIJMfca6mp3hlQR4VDVamppVdE,Wild Flour Pizza Co,"2900 Bainbridge Ave #104, Burnaby, BC V5A 2S8",49.258268099999995,-122.95547309999999,4.7,1011.0,,pizza_restaurant,"pizza_restaurant, restaurant, food, point_of_interest, establishment",http://www.wildflourpizza.ca/,https://maps.google.com/?cid=15084078432727159009&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Vegetarian restaurants in Burnaby BC
ChIJ8-lCW-pxhlQRhEQfXAaBKdc,Sooda Korean BBQ,"60 W Cordova St, Vancouver, BC V6B 1C9",49.2826521,-123.10607919999998,4.7,922.0,PRICE_LEVEL_MODERATE,korean_restaurant,"korean_restaurant, restaurant, food, point_of_interest, establishment",http://www.soodagastown.com/,https://maps.google.com/?cid=15504065056514983044&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Korean restaurants in Downtown Vancouver BC
ChIJhfils9MLhlQRZkWcwtU4u84,Garry Point Grill & Fish 'N' Chips,"12771 Seventh Ave, Richmond, BC V7E 6P4",49.1253567,-123.19223769999999,4.7,874.0,,fish_and_chips_restaurant,"fish_and_chips_restaurant, restaurant, food, point_of_interest, establishment",https://garrypointfishandchips.com/home,https://maps.google.com/?cid=14896562683202258278&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Seafood restaurants in Richmond BC
ChIJefGmaXpzhlQRRZrYUPtQqgk,Tozen Sushi Bar,"967 W Broadway, Vancouver, BC V5Z 1K3",49.2635515,-123.1256451,4.7,821.0,,japanese_restaurant,"japanese_restaurant, restaurant, food, point_of_interest, establishment",https://www.tozensushibar.ca/,https://maps.google.com/?cid=696458132705548869&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Japanese restaurants in Yaletown BC
ChIJySokAQB1hlQRdXqr_mAlXls,Ankabut Donair Kebab & Cafe Vancouver,"6453 Victoria Dr, Vancouver, BC V5P 3X6",49.2258303,-123.06620609999999,4.7,791.0,,restaurant,"restaurant, halal_restaurant, greek_restaurant, middle_eastern_restaurant, turkish_restaurant, mediterranean_restaurant, afghani_restaurant, food, point_of_interest, establishment",https://ankabut.ca/,https://maps.google.com/?cid=6583740803781982837&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Turkish restaurants in Richmond BC
ChIJfRZgQTZxhlQRpi96Zwxhe6c,Machete Ancestral Mexican Food,"1007 Main St, Vancouver, BC V6A 4L4",49.2757173,-123.10019530000001,4.7,784.0,PRICE_LEVEL_MODERATE,mexican_restaurant,"mexican_restaurant, restaurant, food, point_of_interest, establishment",https://macheteancestral.com/,https://maps.google.com/?cid=12068346332372938662&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Mexican restaurants in Downtown Vancouver BC
